,name,url,author,publisher,date,price,rank,comments,quote
0,红楼梦,https://book.douban.com/subject/1007305/,[清] 曹雪芹 著,人民文学出版社,1996-12,59.70元,9.6,387804人评价,都云作者痴，谁解其中味？
1,活着,https://book.douban.com/subject/4913064/,余华,作家出版社,2012-8-1,20.00元,9.4,736921人评价,生的苦难与伟大
2,1984,https://book.douban.com/subject/4820710/,[英] 乔治·奥威尔,北京十月文艺出版社,2010-4-1,28.00,9.4,254826人评价,栗树荫下，我出卖你，你出卖我
3,百年孤独,https://book.douban.com/subject/6082808/,[哥伦比亚] 加西亚·马尔克斯,南海出版公司,2011-6,39.50元,9.3,390365人评价,魔幻现实主义文学代表作
4,三体全集,https://book.douban.com/subject/6518605/,刘慈欣,重庆出版社,2012-1-1,168.00元,9.5,151289人评价,地球往事三部曲
5,哈利·波特,https://book.douban.com/subject/24531956/,J.K.罗琳 (J.K.Rowling),人民文学出版社,2008-12-1,498.00元,9.7,82356人评价,从9¾站台开始的旅程
6,飘,https://book.douban.com/subject/1068920/,[美国] 玛格丽特·米切尔,译林出版社,2000-9,40.00元,9.3,199012人评价,革命时期的爱情，随风而逝
7,三国演义（全二册）,https://book.douban.com/subject/1019568/,[明] 罗贯中,人民文学出版社,1998-05,39.50元,9.3,155106人评价,是非成败转头空
8,动物农场,https://book.douban.com/subject/2035179/,[英] 乔治·奥威尔,上海译文出版社,2007-3,10.00元,9.3,142139人评价,太阳底下并无新事
9,房思琪的初恋乐园,https://book.douban.com/subject/27614904/,林奕含,北京联合出版公司,2018-2,45.00元,9.2,334776人评价,向死而生的文学绝唱
10,福尔摩斯探案全集（上中下）,https://book.douban.com/subject/1040211/,[英] 阿·柯南道尔,1981-8,53.00元,68.00元,9.3,122659人评价,名侦探的代名词
11,白夜行,https://book.douban.com/subject/10554308/,[日] 东野圭吾,南海出版公司,2013-1-1,39.50元,9.2,419206人评价,一宗离奇命案牵出跨度近20年步步惊心的故事
12,小王子,https://book.douban.com/subject/1084336/,[法] 圣埃克苏佩里,人民文学出版社,2003-8,22.00元,9.1,710959人评价,献给长成了大人的孩子们
13,天龙八部,https://book.douban.com/subject/1255625/,金庸,生活·读书·新知三联书店,1994-5,96.00元,9.2,124851人评价,有情皆孽，无人不冤
