,title,author,style,complete,introduce,wordNum,url
0,灵境行者,卖报小郎君,科幻·进化变异,连载,亘古通今，传闻世有灵境。关于灵境的说法，历朝历代的名人雅士众说纷纭，诗中记载：“自齐至唐，兹山濅荒，灵境寂寥，罕有人游。”“灵境不可状，鬼工谅难求。”,𘢻𘣁𘢼𘢽𘣃𘢿,//book.qidian.com/info/1031940621/
1,深空彼岸,辰东,都市·异术超能,连载,浩瀚的宇宙中，一片星系的生灭，也不过是刹那的斑驳流光。仰望星空，总有种结局已注定的伤感，千百年后你我在哪里？家国，文明火光，地球，都不过是深空中的一粒尘埃。星空一瞬，人间千年。虫鸣一世不过秋，你我一样,𘣀𘢻𘢺𘢽𘣀,//book.qidian.com/info/1027339371/
2,光阴之外,耳根,仙侠·神话修真,连载,天地是万物众生的客舍，光阴是古往今来的过客。死生的差异，就好像梦与醒的不同，纷纭变换，不可究诘。那么超越了生死，超脱了天地，在光阴之外，等待我们的是什么？这是耳根继《仙逆》《求魔》《我欲封天》《一念永,𘢿𘣃𘢻𘢽𘢾𘢾,//book.qidian.com/info/1031777108/
3,道诡异仙,狐尾的笔,玄幻·东方玄幻,连载,诡异的天道，异常的仙佛，是真？是假？陷入迷惘的李火旺无法分辨。可让他无法分辨的不仅仅只是这些。还有他自己，他病了，病的很重。,𘢿𘢾𘢼𘢽𘢸𘢻,//book.qidian.com/info/1031794030/
4,机武风暴,骷髅精灵,科幻·古武机甲,连载,太阳系联盟为探究灵魂奥秘，秘密组建天才组织——天启少年班，集合了来自太阳系四大联邦天赋异禀的年轻人，但在研究途中出现重大事故，多人伤亡，首犯被监禁，少年班解散，档案封存成为禁忌。五年后，在泛太阳系机甲,𘢿𘣁𘣀𘢽𘣁𘣃,//book.qidian.com/info/1034419446/
5,轮回乐园,那一只蚊子,轻小说·衍生同人,连载,苏晓签订轮回契约，进入各个世界执行任务。他曾目睹一个世界崩灭为尘粒，也曾与被遗忘的王者持刃而战。暗鸦在低语，黑渊下巨兽咆哮。欢迎来到，轮回乐园……,𘢿𘢻𘢺𘢾𘢽𘢻𘢿,//book.qidian.com/info/1009817672/
6,择日飞升,宅猪,仙侠·幻想修仙,连载,作为捕蛇者，许应一直老老实实勤恳本分，直到这一天，他捉到一条不一样的蛇……三月初一，神州大地，处处香火袅袅，守护着各个村落、乡镇、城郭、州郡的神像纷纷苏醒，享受黎民百姓的祭祀。然而，从这一天开始，天下,𘢻𘣁𘢸𘢽𘢼𘢺,//book.qidian.com/info/1032778366/
7,不科学御兽,轻泉流响,玄幻·异世大陆,连载,这是一个以御兽为主流的异世界。动物，植物，元素，死灵，机械……九尾炎狐，生命古树，雷云精灵，骷髅君主，机械舰娘乃至孕育出灵的古董刀剑皆可作为宠兽，而契约、培养，御使它们的人类，则被统称为御兽师！神话学,𘢺𘢸𘣂𘢽𘣁𘢾,//book.qidian.com/info/1029006481/
8,这游戏也太真实了,晨星LL,轻小说·原生幻想,连载,这游戏也太真实了叭！搬砖、跑腿、捡垃圾、送快递……公司最多能让你体会到996的艰辛，在这里你能体会到超级加倍的007。好了，不废话了，伟大的管理者大人喊我去搬砖了。那位大人说了，只要我们努力献上自己的,𘢺𘢼𘣀𘢽𘢸𘣀,//book.qidian.com/info/1029391348/
9,明克街13号,纯洁滴小龙,都市·异术超能,连载,我喜欢坐在夜晚空无一人的大街上，听着“他们”的窃窃私语，享受着“他们”的喧嚣。,𘣀𘣁𘣁,//book.qidian.com/info/1030870265/
10,深海余烬,远瞳,科幻·未来世界,连载,在那一天，浓雾封锁了一切。在那一天，他成为了一艘幽灵船的船长。在那一天，他跨过浓雾，直面了一个被彻底颠覆而又支离破碎的世界——昔日的秩序已经荡然无存，奇诡的异象主宰着文明社会之外的无尽海域，孤岛城邦与,𘢼𘢺𘢽𘣃𘢿,//book.qidian.com/info/1034360760/
11,宇宙职业选手,我吃西红柿,科幻·未来世界,连载,继《莽荒纪》《吞噬星空》《盘龙》《雪鹰领主》《星辰变》等之后，番茄的第11本小说。——融入宇宙文明后，家乡星球为了生存，步履蹒跚地在文明之路上前行。而星球上无数人类，也开始了进化之路……,𘢿𘣀𘢼𘢽𘢻𘣃,//book.qidian.com/info/1031581171/
12,我的属性修行人生,滚开,玄幻·东方玄幻,连载,大灵天下，烽烟四起，铁骑灵军横扫万国，将疆土拓展到前无古人之地。来到这个时代，张荣方身负能加点武功的属性栏异能，看了看周围水平和前世搏击爱好者差不多的武林高手，心里满是对未来的憧憬……,𘢻𘣁𘢼𘢽𘢼𘢼,//book.qidian.com/info/1033060374/
13,当不成赘婿就只好命格成圣,南瞻台,玄幻·东方玄幻,连载,陆景穿越大伏，沦为一位即将入赘他族的望族少年。这世界光怪陆离，陆景开局落入赘婿贱籍，又去不得妻家，前途黯淡无光。可他通读《周易》，竟开启【趋吉避凶】命格！人皆有命！于是陆景开始积累命格，获得机缘，越来,𘢿𘣁𘢿𘢽𘣃𘣃,//book.qidian.com/info/1034730904/
14,夜的命名术,会说话的肘子,都市·异术超能,完结,蓝与紫的霓虹中，浓密的钢铁苍穹下，数据洪流的前端，是科技革命之后的世界，也是现实与虚幻的分界。钢铁与身体，过去与未来。这里，表世界与里世界并存，面前的一切，像是时间之墙近在眼前。黑暗逐渐笼罩。可你要明,𘢺𘢸𘢻𘢽𘢸𘢿,//book.qidian.com/info/1021617576/
15,唐人的餐桌,孑与2,历史·两晋隋唐,连载,过往作品《唐砖》《大宋的智慧》《银狐》《汉乡》《明天下》《我不是野人》本本经典，欢迎阅读。天下人，天下事，都不过是我大唐人餐桌上的一道道菜肴。虽然原始的食材便具有食物原始的风情，云初还是认为，最美味的,𘢿𘢼𘣁𘢽𘣀𘣀,//book.qidian.com/info/1033914374/
16,神秘复苏,佛前献花,仙侠·现代修真,连载,“我叫杨间，当你看到这句话的时候我已经死了......”一张诡异的羊皮卷，一只窥视黑暗的眼睛，这是一个活下来的人经历的故事。——————,𘣀𘢸𘣁𘢽𘣃𘣂,//book.qidian.com/info/1012584111/
17,万古神帝,飞天鱼,玄幻·东方玄幻,连载,天地初开，太古混乱。灵长之战后，时空人祖、九巫、始佛、幽冥、大魔神相继出世，开创道法，威临八方，众生朝迎，世人尊为始祖。天尊无敌当世，始祖名传古今。但，皆不可得长生………………张若尘自逆境中崛起，从平,𘢿𘢻𘢸𘣁𘢽𘣂𘢿,//book.qidian.com/info/3546912/
18,赤心巡天,情何以甚,仙侠·古典仙侠,连载,（《赤心巡天》实体书已在全网发售。）上古时代，妖族绝迹。近古时代，龙族消失。神道大昌的时代已经如烟，飞剑绝巅的时代终究沉沦……这个世界发生了什么？那埋葬于时间长河里的历史真相，谁来聆听？山河千里写伏尸,𘣃𘣂𘣃𘢽𘣁𘢿,//book.qidian.com/info/1016530091/
19,家父汉高祖,历史系之狼,历史·秦汉三国,连载,一个伟大的帝国刚刚诞生，新的时代即将到来。刘长也曾想过要不要争一争那大位，由自己来率领这个崭新的帝国，可是他看了看自己的周围，刘邦，吕后，刘盈，刘恒...嗯，活着不好吗？于是乎，刘长戴上了穿越者之耻的,𘢻𘣂𘣀𘢽𘢻𘢺,//book.qidian.com/info/1032822816/
20,请公子斩妖,裴不了,仙侠·幻想修仙,连载,【无厘头】【无节操】【无套路】……巍巍人间，九天十地。花花世界，快乐修仙。当楚梁睁开眼发现自己成为了一名蜀山派弟子，并身怀一尊奇异宝塔……从此便踏上了一条不曾设想的道路。三十六峰晨烟起，八千里外斩龙还,𘢿𘢺𘢼𘢽𘣀𘢿,//book.qidian.com/info/1033498464/
21,我的姐夫是太子,上山打老虎额,历史·两宋元明,连载,明朝永乐年间。张安世不学无术，罪恶滔天。他的姐夫是太子？噢，那没事了！,𘢻𘢿𘢻𘢽𘢼𘢾,//book.qidian.com/info/1034269304/
22,我就是神！,历史里吹吹风,玄幻·异世大陆,连载,五亿年前。寒武纪。尹神降临在最远古的蛮荒大地和原始海洋之上，他是一切的开端，他创造了智慧和生命，他是众生的造物主。时间的流逝里，故事化为史诗，史诗化为神话，最终神话也被埋葬在岁月之中。唯神永恒。,𘢺𘢺𘣂𘢽𘢼𘢺,//book.qidian.com/info/1029247985/
23,我的治愈系游戏,我会修空调,悬疑·侦探推理,连载,警察同志，如果我说这是一款休闲治愈系游戏，你们信吗？,𘢻𘢸𘣂𘢽𘢻𘢿,//book.qidian.com/info/1025901449/
24,我用闲书成圣人,出走八万里,仙侠·古典仙侠,连载,开局一口棺材。陈洛的穿越从灵堂开始。这是一个读书就能获得超凡威力的世界。读儒门经典，可养浩然正气；读道门典藏，可生先天源炁；读佛门经文，可悟轮回真意；偏偏陈洛的金手指却是一堆天道都不允许在这个世界出现,𘢺𘣀𘢺𘢽𘣃𘢻,//book.qidian.com/info/1028463573/
25,终宋,怪诞的表哥,历史·架空历史,连载,终宋一朝都未收复燕云，终宋一朝皆被外敌欺侮……南宋将亡之际，那些终宋一朝都没能达成的伟业，他要做到。,𘢺𘢻𘢺𘢽𘢼𘢼,//book.qidian.com/info/1030453176/
26,神话版三国,坟土荒草,历史·秦汉三国,连载,陈曦看着将一块数百斤巨石撇出去的士卒，无语望苍天，这真的是东汉末年？吕布单枪匹马凿穿万人部队，这怎么看都不科学。赵子龙真心龙魂附体了，一剑断山，这真的是人？典韦单人护着曹操杀出敌营，顺手宰了对面数千步,𘢿𘣂𘢾𘢺𘢽𘣃𘣃,//book.qidian.com/info/3223937/
27,重生之我要冲浪,睡觉会变白,都市·都市生活,连载,重回过去，姚远一心一意只想浪~啊呸，只想冲浪！,𘢿𘣁𘣂𘢽𘢺𘣀,//book.qidian.com/info/1033830145/
28,古神在低语,海棠灯,科幻·进化变异,连载,这是人类和古神族之间的战争，追溯到太古，延伸至未来，贯穿历史长河，谱写史诗。古神们带着破碎的世界入侵现实。亘古的隐秘神话揭露真相。升华者在时空的间隙穿梭，往返两界。现实与超凡，刀与剑，血与火。当末日降,𘢿𘢺𘣁𘢽𘣂𘢾,//book.qidian.com/info/1034120513/
29,刚成仙神，子孙求我出山,任我笑,仙侠·古典仙侠,连载,投胎成为景朝立国的第一位太子，姜长生刚出生就被奸人调包，后被送到一道观中，成为一名普通的小道士。从太子到无人问津的小道士，人生跌落，好在姜长生开启生存系统，无限寿命，只要度过人生磨难，便可获得生存奖励,𘣂𘢿𘢽𘢿𘢼,//book.qidian.com/info/1035441955/
30,诡秘之主,爱潜水的乌贼,玄幻·异世大陆,完结,蒸汽与机械的浪潮中，谁能触及非凡？历史和黑暗的迷雾里，又是谁在耳语？我从诡秘中醒来，睁眼看见这个世界：枪械，大炮，巨舰，飞空艇，差分机；魔药，占卜，诅咒，倒吊人，封印物……光明依旧照耀，神秘从未远离，,𘣀𘣀𘢾𘢽𘣃𘢺,//book.qidian.com/info/1010868264/
31,我家娘子，不对劲,一蝉知夏,轻小说·原生幻想,连载,一觉醒来。洛青舟成了大炎帝国成国府洛家的一个小小庶子。为帮洛家二公子悔婚，洛青舟被迫入赘，娶了一个据说不会说话不会笑的傻子新娘。直到拜完天地，洞房花烛夜后，他才突然发现：“我家娘子，不对劲！”岂止娘子,𘢻𘣀𘢺𘢽𘢺𘣂,//book.qidian.com/info/1032982789/
32,皓玉真仙,小道不讲武德,仙侠·幻想修仙,连载,（大男主爽文，非群像。）天地如棋盘，万物如棋子。待我执棋时，必将一袖推翻！假丹大能夺灵重修，携至宝，成就皓玉海千古第一真仙！不虐主，不圣母，新修仙严谨爽文,𘣀𘢺𘢻𘢽𘢸𘢸,//book.qidian.com/info/1025172188/
33,火力为王,如水意,都市·都市生活,连载,在大部分行当里，有人是老天爷不给饭吃，有些人是老天爷赏饭吃，有些人，是老天爷追着喂饭吃。在私人武力这个领域里，老天爷强行给高光灌饭吃。开局被绑架，高光为了活命，他被迫成为了私人武力承包商的一员。直到有,𘢿𘣂𘣀𘢽𘣀𘢼,//book.qidian.com/info/1026957246/
34,天启预报,风月,奇幻·现代魔法,连载,“我想要挨一顿毒打……”——灾厄之剑、旧世界守墓人、调律师、最后的天国捍卫者、二十四个毁灭因素之一、淮海路小佩奇、深渊烈日、最终的地狱之王：槐诗。.某一天，穷困潦倒的槐诗忽然发现自己捡来的金手指终于能,𘢾𘣁𘣁𘢽𘣀,//book.qidian.com/info/1014180485/
35,高天之上,阴天神隐,奇幻·史诗奇幻,连载,“我根本不关心这个世界的人活的怎么样，吃的饱不饱，能不能穿暖住好，有没有梦想希望。我不在乎他们的爱憎。”“只是如果想要前往高天之上，需要一个完整的高等工业体系，一整套相关研究所，最先进的材料学实验室和,𘢻𘣀𘣀𘢽𘣃𘢼,//book.qidian.com/info/1032977639/
36,镇妖博物馆,阎ZK,悬疑·诡秘悬疑,完结,世之反常为妖物之性灵为精魂之不散为诡物之异常为怪司隶校尉，旧称卧虎，汉武帝所设，治巫蛊之事，捕奸滑之徒。全球范围内的灵气和神秘复苏，人类摸索着走上修行道路，潜藏在传说中的妖精鬼怪一一浮现，阴影处仍旧有,𘣃𘣁𘣃𘢽𘢺𘢾,//book.qidian.com/info/1026722127/
37,女侠且慢,关关公子,玄幻·东方玄幻,连载,“女侠且慢，你可知我是什么人？”“知道，女帝身边的宠臣，反贼头目的相好，江湖名门的少主。脚踏三只船，我砍得就是你！”-----已有万订完本作品《世子很凶》《仙子很凶》，质量人品皆可保证，有兴趣的读者可,𘢾𘢻𘢽𘢿𘢾,//book.qidian.com/info/1034840014/
38,长生武道：从五禽养生拳开始,真不是许仙,玄幻·东方玄幻,连载,一觉醒来，苏长空穿越到了兵荒马乱、妖魔横行的世界，武道资质平平，但苏长空发现，只要自己【寿命】增长，天赋、潜能就能随之【无限】提升！五禽戏：模仿虎、鹿、熊、猿、鸟等动物，习之可强身健体，身手敏捷，百病,𘢿𘢾𘢸𘢽𘣂𘣂,//book.qidian.com/info/1034314926/
39,大夏文圣,七月未时,仙侠·古典仙侠,连载,神洲。大夏王朝。永盛十二年。顾锦年穿越而来，惊奇发现这是个仙武并存，王朝主宰的世界。这个世界有儒、道、武、佛、妖、术、剑。自己则成了大夏王朝第一权贵镇国公长孙，自幼锦衣玉食，享万千宠溺。然而顾锦年更是,𘢻𘢾𘢼𘢽𘢾𘢾,//book.qidian.com/info/1033544120/
40,术师手册,听日,轻小说·原生幻想,连载,1668年，我所在的城市被评为全国治安最好的地区。我对此做出了不可磨灭的贡献。因为我落网了。,𘢺𘣃𘢺𘢽𘣂𘢼,//book.qidian.com/info/1025990049/
41,保护我方族长,傲无常,玄幻·东方玄幻,连载,穿成【玄幻世界】的【族长】，从家族角度描绘尽量真实的玄幻世界，种灵田、养灵鱼、全面发展各种家族产业，扶植咸鱼长辈成老祖担当保护伞，激励小辈勇闯圣地学宫出人头地。本文家庭成员和睦团结，齐心协力，一起共创,𘣀𘢼𘢻𘢽𘢻𘢿,//book.qidian.com/info/1024121691/
42,诸界第一因,裴屠狗,玄幻·东方玄幻,连载,浩瀚的世界重新焕发生机，远去的神魔即将归来。持一口暴食之鼎，法学生杨狱穿越而来，于边陲小镇睁眼看这似是而非的世界。他看到无垠大地之上，古老的王朝濒临末路，烽火中龙蛇四起。他看到连年征战，民不聊生。千户,𘢻𘢸𘢾𘢽𘢻𘣃,//book.qidian.com/info/1029701421/
43,红楼之挽天倾,林悦南兮,历史·架空历史,连载,千红一哭，万艳同悲。白骨如山忘姓氏，无非公子与红妆。后世青年魂穿红楼世界中宁国远亲之上，为了免于被贾府牵连之命运，只好步步为营，然而茫然四顾，发现家国天下，乱世将临，为不使神州陆沉，遍地膻腥，只好提三,𘢻𘢸𘢼𘢽𘢻𘣃,//book.qidian.com/info/1032610158/
44,国民法医,志鸟村,都市·商战职场,连载,尸体：请问你礼貌吗？,𘢸𘢼𘢽𘢺,//book.qidian.com/info/1033893441/
45,深渊独行,言归正传,科幻·星际文明,连载,地球爆炸的瞬间，对死亡的恐惧终于化作了身体的苦难，被灼烧的痛苦烙印在了杨洺记忆的最深处。“宇宙即是深渊。”杨洺在星光中低声呢喃。【PS：非游戏文，前期的游戏设定中期会有完整逻辑解释。换个赛道重新出发，,𘢼𘣃𘢽𘢺𘢺,//book.qidian.com/info/1034695389/
46,修仙就是这样子的,凤嘲凰,仙侠·幻想修仙,连载,九州世界，满怀怨气的玩家们聚集一处，滴血为盟，誓要让大魔头魂飞魄散。一时间，八方响应，风起云涌，所有人都看到了美好的明天。除了陆北。他就是那个所谓的魔头。“说我魔头，怪我坑你们，我一NPC，怎么可能坑,𘢻𘣃𘣀𘢽𘢸𘣃,//book.qidian.com/info/1031587468/
47,黜龙,榴弹怕水,历史·架空历史,连载,此方天地有龙。龙形百态，不一而足，或游于江海，或翔于高山，或藏于九幽，或腾于云间。一旦奋起，便可吞风降雪，引江划河，落雷喷火，分山避海。此处人间也有龙。人中之龙，胸怀大志，腹有良谋，有包藏宇宙之机，吞,𘢿𘢼𘣀𘢽𘣁𘣃,//book.qidian.com/info/1031516087/
48,国王,新海月1,奇幻·史诗奇幻,连载,万族共存，剑与魔法交相辉映，人族、海族、精灵、矮人、兽人……争先绽放文明之光，谱写史诗悲歌！（领主种田慢热文，建议多点儿耐心）………书荒的朋友请移步《逐道在诸天》、《神圣罗马帝国》、《地中海霸主之路》,𘢿𘢻𘣁𘢽𘢾𘣃,//book.qidian.com/info/1017541882/
49,黎明之剑,远瞳,科幻·时空穿梭,完结,高文穿越了，但穿越的时候稍微出了点问题。在某个异界大陆上空飘了十几万年之后，他觉得自己可能需要一具身体才算是成为一个完整的穿越者，但他并没想到自己好不容易成功之后竟然还需要带着这具身体从棺材里爬出来，,𘢾𘢺𘢺𘢽𘢻𘣂,//book.qidian.com/info/1010400217/
50,我真没想重生啊,柳岸花又明,都市·都市生活,完结,万万没想到，社会精英、钻石单身汉的陈汉升居然重生了，一觉醒来变成了高三毕业生。十字路口的陈汉升也在犹豫，宝藏女孩沈幼楚和白月光萧容鱼，应该选择谁？都市重生小说的天花板，年轻人绝对不可错失的恋爱宝典！,𘢺𘢿𘢺𘢽𘣁𘢼,//book.qidian.com/info/1015648531/
51,我是导演，我不比烂,不是老狗,都市·娱乐明星,连载,2006年，许鑫做了一个梦，梦里，他看到了一个处处在比烂的娱乐圈。为了博出位而不顾一切，为了流量而大费周折。“既然如此，为什么不能活成一束光呢？”（高清无码无虐无狗血，人品保证，放心入坑）,𘢻𘣃𘣃,//book.qidian.com/info/1034167664/
52,仙人只想躺着,猪心虾仁,都市·都市异能,连载,灵气复苏，信仰先行。有人李代桃僵化天父，化佛陀，化仙神，他们意图借虚假的信仰成道。有人出自传，他们相信自己就是传奇，何须假接他人。有人成为明星，偶像等等一切能让人崇拜的代名词，他们相信再假虚的信仰也是,𘢾𘣁𘢽𘢺𘢼,//book.qidian.com/info/1035347647/
53,开局满级爆射，梅西求我入阿根廷,臊子拌面,体育·足球运动,连载,苏白穿越了！一个身居阿根廷的华裔少年！实况足球系统加身的他开局就赠送满级射门力量和满级身体平衡！一个博卡青年的超级苏白出现了。在边路，他像一个坦克一样横冲直撞，各种不讲理的爆射让阿根廷为之颤抖！刚刚天,𘢿𘢻𘣀𘢽𘣃𘢿,//book.qidian.com/info/1034504180/
54,从武王伐纣开始建立千年世家,花非花月夜,历史·架空历史,连载,历史万订作品。洛昭穿越成为周武王姬发的弟弟，受命摄政，从商末周初开始，建立家族，历经王朝轮转，传承不断。“洛氏绵延至今，两千三百余年，从始祖素王昭摄政起，九摄国政，俱还政于王。见到了多少王朝兴衰，气数,𘢾𘢻𘢽𘣃𘢻,//book.qidian.com/info/1035239681/
55,重生大时代之1993,三月麻竹,都市·都市生活,连载,重活一次，钱要好好挣，生活要慢慢过。,𘢻𘢸𘢿𘢽𘣂𘢺,//book.qidian.com/info/1027697153/
56,半仙,跃千愁,仙侠·神话修真,连载,深山有道观，香火早凋零。鄙人不才，年方十九，打小就是一名道士，上有师兄十数位，下惟余最小，俗称关门弟子。师门太穷，师兄们难耐清苦，幸掌门师尊豁达，任由众师兄散伙而去，后有三位师兄迷途知返。蒙师尊垂青，,𘢻𘣂𘣃𘢽𘣂𘣃,//book.qidian.com/info/1020180183/
